id,title,context,question,answers,predicted_answer,predicted_answer_for_dropped
56bf467d3aeaaa14008c95a7,Super_Bowl_50,"Concerns were raised over whether Levi's Stadium's field was of a high enough quality to host a Super Bowl; during the inaugural season, the field had to be re-sodded multiple times due to various issues, and during a week 6 game earlier in the 2015 season, a portion of the turf collapsed under Baltimore Ravens kicker Justin Tucker, causing him to slip and miss a field goal, although the field has not had any major issues since. As is customary for Super Bowl games played at natural grass stadiums, the NFL re-sodded the field with a new playing surface; a hybrid Bermuda 419 turf. NFL and Atlanta Braves field director Ed Mangan stated that the field was in ""great shape"" for gameday. However, the turf showed problem throughout the game, with a number of players needing to change their cleats during the game and player slipping during plays all throughout the game.",What was used to sod the Levi's Stadium for Super Bowl 50? ,"{'text': array(['hybrid Bermuda 419 turf', 'Bermuda 419 turf',
       'hybrid Bermuda 419'], dtype=object), 'answer_start': array([562, 569, 562], dtype=int32)}",A hybrid Bermuda 419 turf.,The passage does not provide information about what was used to sod the Levi's Stadium for Super Bowl 50.
572829532ca10214002d9fa6,Doctor_Who,"Following the success of the 2005 series produced by Russell T Davies, the BBC commissioned Davies to produce a 13-part spin-off series titled Torchwood (an anagram of ""Doctor Who""), set in modern-day Cardiff and investigating alien activities and crime. The series debuted on BBC Three on 22 October 2006. John Barrowman reprised his role of Jack Harkness from the 2005 series of Doctor Who. Two other actresses who appeared in Doctor Who also star in the series; Eve Myles as Gwen Cooper, who also played the similarly named servant girl Gwyneth in the 2005 Doctor Who episode ""The Unquiet Dead"", and Naoko Mori who reprised her role as Toshiko Sato first seen in ""Aliens of London"". A second series of Torchwood aired in 2008; for three episodes, the cast was joined by Freema Agyeman reprising her Doctor Who role of Martha Jones. A third series was broadcast from 6 to 10 July 2009, and consisted of a single five-part story called Children of Earth which was set largely in London. A fourth series, Torchwood: Miracle Day jointly produced by BBC Wales, BBC Worldwide and the American entertainment company Starz debuted in 2011. The series was predominantly set in the United States, though Wales remained part of the show's setting.",Was is the name of the Torchwood series that was mostly based in the US?,"{'text': array(['Torchwood: Miracle Day', 'Torchwood: Miracle Day',
       'Torchwood: Miracle Day'], dtype=object), 'answer_start': array([1005, 1005, 1005], dtype=int32)}",Torchwood: Miracle Day,"The name of the Torchwood series that was mostly based in the US is ""Torch: Miracle Day""."
56f8bd509b226e1400dd0eee,Martin_Luther,"Some scholars, such as Mark U. Edwards in his book Luther's Last Battles: Politics and Polemics 1531–46 (1983), suggest that since Luther's increasingly antisemitic views developed during the years his health deteriorated, it is possible they were at least partly the product of a declining state of mind. Edwards also comments that Luther often deliberately used ""vulgarity and violence"" for effect, both in his writings condemning the Jews and in diatribes against ""Turks"" (Muslims) and Catholics.",What about Luther declined as his antisemitism increased?,"{'text': array(['his health', 'state of mind', 'declining state of mind'],
      dtype=object), 'answer_start': array([198, 291, 281], dtype=int32)}",Luther's health declined as his antisemitism increased.,"According to Mark U. Edwards, Luther's declining health may have contributed to his increasing antisemitic views."
57111380a58dae1900cd6bd8,Huguenot,"Other predecessors of the Reformed church included the pro-reform and Gallican Roman Catholics, such as Jacques Lefevre (c. 1455–1536). The Gallicans briefly achieved independence for the French church, on the principle that the religion of France could not be controlled by the Bishop of Rome, a foreign power. During the Protestant Reformation, Lefevre, a professor at the University of Paris, published his French translation of the New Testament in 1523, followed by the whole Bible in the French language in 1530. William Farel was a student of Lefevre who went on to become a leader of the Swiss Reformation, establishing a Protestant government in Geneva. Jean Cauvin (John Calvin), another student at the University of Paris, also converted to Protestantism. Long after the sect was suppressed by Francis I, the remaining French Waldensians, then mostly in the Luberon region, sought to join William Farel, Calvin and the Reformation, and Olivetan published a French Bible for them. The French Confession of 1559 shows a decidedly Calvinistic influence. Sometime between 1550 and 1580, members of the Reformed church in France came to be commonly known as Huguenots.[citation needed]",When did this leader publish a French language Bible?,"{'text': array(['1530', '1523', '1530'], dtype=object), 'answer_start': array([513, 453, 513], dtype=int32)}",1530,"Jacques Lefev (c 1455–1536) published his French translation of the New Testament in 1523, followed by the whole Bible in the French language in 1530."
5727d6154b864d1900163e34,Harvard_University,"For the 2012–13 school year annual tuition was $38,000, with a total cost of attendance of $57,000. Beginning 2007, families with incomes below $60,000 pay nothing for their children to attend, including room and board. Families with incomes between $60,000 to $80,000 pay only a few thousand dollars per year, and families earning between $120,000 and $180,000 pay no more than 10% of their annual incomes. In 2009, Harvard offered grants totaling $414 million across all eleven divisions;[further explanation needed] $340 million came from institutional funds, $35 million from federal support, and $39 million from other outside support. Grants total 88% of Harvard's aid for undergraduate students, with aid also provided by loans (8%) and work-study (4%).",What is tuition for 2012 - 13 year at Harvard? ,"{'text': array(['$38,000', '$38,000', '$38,000'], dtype=object), 'answer_start': array([47, 47, 47], dtype=int32)}","The tuition for the 2012-13 year at Harvard was $38,000.","The tuition for the 2012-13 year at Harvard was $38,000."
5728dab94b864d1900164f97,Kenya,"Kenya (/ˈkɛnjə/; locally [ˈkɛɲa] ( listen)), officially the Republic of Kenya, is a country in Africa and a founding member of the East African Community (EAC). Its capital and largest city is Nairobi. Kenya's territory lies on the equator and overlies the East African Rift covering a diverse and expansive terrain that extends roughly from Lake Victoria to Lake Turkana (formerly called Lake Rudolf) and further south-east to the Indian Ocean. It is bordered by Tanzania to the south, Uganda to the west, South Sudan to the north-west, Ethiopia to the north and Somalia to the north-east. Kenya covers 581,309 km2 (224,445 sq mi), and had a population of approximately 45 million people in July 2014.",What is Kenya a founding member of?,"{'text': array(['East African Community', 'East African Community',
       'East African Community'], dtype=object), 'answer_start': array([131, 131, 131], dtype=int32)}",Kenya is a founding member of the East African Community (EAC).,Kenya is a founding member of the East African Community (EAC).
5725b77889a1e219009abd55,Apollo_program,"Apollo set several major human spaceflight milestones. It stands alone in sending manned missions beyond low Earth orbit. Apollo 8 was the first manned spacecraft to orbit another celestial body, while the final Apollo 17 mission marked the sixth Moon landing and the ninth manned mission beyond low Earth orbit. The program returned 842 pounds (382 kg) of lunar rocks and soil to Earth, greatly contributing to the understanding of the Moon's composition and geological history. The program laid the foundation for NASA's current human spaceflight capability, and funded construction of its Johnson Space Center and Kennedy Space Center. Apollo also spurred advances in many areas of technology incidental to rocketry and manned spaceflight, including avionics, telecommunications, and computers.",What Apollo mission was the sixth moon landing?,"{'text': array(['Apollo 17', 'Apollo 17', 'Apollo 17', 'Apollo 17', 'Apollo 17'],
      dtype=object), 'answer_start': array([212, 212, 212, 212, 212], dtype=int32)}",The final Apollo 17 mission.,Yes.
5726e179dd62a815002e93b0,Pharmacy,"Because of the complexity of medications including specific indications, effectiveness of treatment regimens, safety of medications (i.e., drug interactions) and patient compliance issues (in the hospital and at home) many pharmacists practicing in hospitals gain more education and training after pharmacy school through a pharmacy practice residency and sometimes followed by another residency in a specific area. Those pharmacists are often referred to as clinical pharmacists and they often specialize in various disciplines of pharmacy. For example, there are pharmacists who specialize in hematology/oncology, HIV/AIDS, infectious disease, critical care, emergency medicine, toxicology, nuclear pharmacy, pain management, psychiatry, anti-coagulation clinics, herbal medicine, neurology/epilepsy management, pediatrics, neonatal pharmacists and more.",What is one issue that adds to the complexity of a pharmacist's job?,"{'text': array(['effectiveness of treatment regimens',
       'effectiveness of treatment regimens',
       'effectiveness of treatment regimens'], dtype=object), 'answer_start': array([73, 73, 73], dtype=int32)}","One issue that adds to the complexity of a pharmacist's job is the safety of medications (i.e., drug interactions).","One issue that adds to the complexity of a pharmacist's job is the complexity of medications, including specific indications, effectiveness of treatment regimens, safety of medications (i.e., drug interactions), and patient compliance issues."
572968cf1d046914007793cc,Chloroplast,"Chloroplasts have their own DNA, often abbreviated as ctDNA, or cpDNA. It is also known as the plastome. Its existence was first proved in 1962, and first sequenced in 1986—when two Japanese research teams sequenced the chloroplast DNA of liverwort and tobacco. Since then, hundreds of chloroplast DNAs from various species have been sequenced, but they're mostly those of land plants and green algae—glaucophytes, red algae, and other algal groups are extremely underrepresented, potentially introducing some bias in views of ""typical"" chloroplast DNA structure and content.",What is a synonym for chloroplast DNA?,"{'text': array(['the plastome', 'cpDNA', 'plastome'], dtype=object), 'answer_start': array([91, 64, 95], dtype=int32)}",plastome,cpDNA
57275f6ef1498d1400e8f709,American_Broadcasting_Company,"In 1965, the corporate entity, American Broadcasting-Paramount Theatres, was renamed as the American Broadcasting Companies,  while its cinema division became ABC Theatres;[citation needed] its recording division was renamed ABC Records in 1966. In December of that year, the ABC television network premiered The Dating Game, a pioneer series in its genre, which was a reworking of the blind date concept in which a suitor selected one of three contestants sight unseen based on the answers to selected questions. This was followed up in July 1966 by The Newlywed Game, featuring three recently married couples who guessed the responses to their partner's questions (some of which were fairly risque). As ABC began to outgrow its facilities at 7 West 66th Street, Goldenson found a new headquarters for ABC in a 44 story building located at 1330 Avenue of the Americas in Manhattan, at the corner of 54th Street (now occupied by The Financial Times's New York office). This operation allowed for the conversion of the premises at 66th Street into production facilities for television and radio programs.",At what address did Goldenson secure a new headquarters for ABC?,"{'text': array(['1330 Avenue of the Americas in Manhattan',
       '1330 Avenue of the Americas in Manhattan',
       '1330 Avenue of the Americas in Manhattan'], dtype=object), 'answer_start': array([841, 841, 841], dtype=int32)}","1330 Avenue of the Americas, Manhattan, at the corner of 54th Street","1330 Avenue of in Manhattan, at the corner 54 Street"
5728170d3acd2414000df443,"Jacksonville,_Florida","On May 3, 1901, downtown Jacksonville was ravaged by a fire that started as a kitchen fire. Spanish moss at a nearby mattress factory was quickly engulfed in flames and enabling the fire to spread rapidly. In just eight hours, it swept through 146 city blocks, destroyed over 2,000 buildings, left about 10,000 homeless and killed 7 residents. The Confederate Monument in Hemming Park was one of the only landmarks to survive the fire. Governor Jennings declare martial law and sent the state militia to maintain order. On May 17 municipal authority resumed in Jacksonville. It is said the glow from the flames could be seen in Savannah, Georgia, and the smoke plumes seen in Raleigh, North Carolina. Known as the ""Great Fire of 1901"", it was one of the worst disasters in Florida history and the largest urban fire in the southeastern United States. Architect Henry John Klutho was a primary figure in the reconstruction of the city. The first multi-story structure built by Klutho was the Dyal-Upchurch Building in 1902. The St. James Building, built on the previous site of the St. James Hotel that burned down, was built in 1912 as Klutho's crowning achievement.",What caused the spread of the Jacksonville fire in 1901?,"{'text': array(['Spanish moss', 'kitchen fire', 'Spanish moss'], dtype=object), 'answer_start': array([92, 78, 92], dtype=int32)}","The Spanish moss at a nearby mattress factory quickly engulfed in flames, enabling the fire to spread rapidly.","The Spanish moss at a nearby mattress factory quickly engulfed in flames, enabling the fire to spread rapidly."
